sepallength,petalwidth,sepalwidth,petallength,class
5.55_to_inf,1.65_to_inf,3.35_to_inf,4.75_to_inf,Iris-virginica
5.55_to_inf,0.8_to_1.65,-inf_to_3.35,4.75_to_inf,Iris-virginica
5.55_to_inf,1.65_to_inf,-inf_to_3.35,4.75_to_inf,Iris-virginica
5.55_to_inf,1.65_to_inf,-inf_to_3.35,4.75_to_inf,Iris-virginica
5.55_to_inf,1.65_to_inf,-inf_to_3.35,4.75_to_inf,Iris-virginica
5.55_to_inf,1.65_to_inf,-inf_to_3.35,4.75_to_inf,Iris-virginica
5.55_to_inf,1.65_to_inf,-inf_to_3.35,4.75_to_inf,Iris-virginica
5.55_to_inf,1.65_to_inf,-inf_to_3.35,4.75_to_inf,Iris-virginica
5.55_to_inf,1.65_to_inf,-inf_to_3.35,4.75_to_inf,Iris-virginica
5.55_to_inf,1.65_to_inf,-inf_to_3.35,4.75_to_inf,Iris-virginica
5.55_to_inf,1.65_to_inf,-inf_to_3.35,4.75_to_inf,Iris-virginica
5.55_to_inf,0.8_to_1.65,-inf_to_3.35,4.75_to_inf,Iris-virginica
5.55_to_inf,1.65_to_inf,3.35_to_inf,4.75_to_inf,Iris-virginica
5.55_to_inf,1.65_to_inf,-inf_to_3.35,4.75_to_inf,Iris-virginica
5.55_to_inf,0.8_to_1.65,-inf_to_3.35,4.75_to_inf,Iris-virginica
5.55_to_inf,0.8_to_1.65,-inf_to_3.35,4.75_to_inf,Iris-virginica
5.55_to_inf,1.65_to_inf,-inf_to_3.35,4.75_to_inf,Iris-virginica
5.55_to_inf,1.65_to_inf,3.35_to_inf,4.75_to_inf,Iris-virginica
5.55_to_inf,1.65_to_inf,-inf_to_3.35,4.75_to_inf,Iris-virginica
5.55_to_inf,1.65_to_inf,-inf_to_3.35,4.75_to_inf,Iris-virginica
5.55_to_inf,1.65_to_inf,-inf_to_3.35,4.75_to_inf,Iris-virginica
5.55_to_inf,1.65_to_inf,-inf_to_3.35,4.75_to_inf,Iris-virginica
5.55_to_inf,1.65_to_inf,-inf_to_3.35,4.75_to_inf,Iris-virginica
5.55_to_inf,1.65_to_inf,-inf_to_3.35,4.75_to_inf,Iris-virginica
5.55_to_inf,1.65_to_inf,-inf_to_3.35,4.75_to_inf,Iris-virginica
5.55_to_inf,1.65_to_inf,-inf_to_3.35,4.75_to_inf,Iris-virginica
5.55_to_inf,1.65_to_inf,-inf_to_3.35,4.75_to_inf,Iris-virginica
5.55_to_inf,1.65_to_inf,3.35_to_inf,4.75_to_inf,Iris-virginica
5.55_to_inf,1.65_to_inf,-inf_to_3.35,4.75_to_inf,Iris-virginica
