sepallength,petalwidth,sepalwidth,petallength,class
6.15_to_inf,0.8_to_1.75,-inf_to_3.25,2.45_to_4.75,Iris-versicolor
6.15_to_inf,0.8_to_1.75,-inf_to_3.25,2.45_to_4.75,Iris-versicolor
6.15_to_inf,0.8_to_1.75,-inf_to_3.25,4.75_to_inf,Iris-versicolor
-inf_to_5.55,0.8_to_1.75,-inf_to_3.25,2.45_to_4.75,Iris-versicolor
6.15_to_inf,0.8_to_1.75,-inf_to_3.25,2.45_to_4.75,Iris-versicolor
5.55_to_6.15,0.8_to_1.75,-inf_to_3.25,2.45_to_4.75,Iris-versicolor
-inf_to_5.55,0.8_to_1.75,-inf_to_3.25,2.45_to_4.75,Iris-versicolor
6.15_to_inf,0.8_to_1.75,-inf_to_3.25,2.45_to_4.75,Iris-versicolor
-inf_to_5.55,0.8_to_1.75,-inf_to_3.25,2.45_to_4.75,Iris-versicolor
-inf_to_5.55,0.8_to_1.75,-inf_to_3.25,2.45_to_4.75,Iris-versicolor
5.55_to_6.15,0.8_to_1.75,-inf_to_3.25,2.45_to_4.75,Iris-versicolor
5.55_to_6.15,0.8_to_1.75,-inf_to_3.25,2.45_to_4.75,Iris-versicolor
5.55_to_6.15,0.8_to_1.75,-inf_to_3.25,2.45_to_4.75,Iris-versicolor
5.55_to_6.15,0.8_to_1.75,-inf_to_3.25,2.45_to_4.75,Iris-versicolor
6.15_to_inf,0.8_to_1.75,-inf_to_3.25,2.45_to_4.75,Iris-versicolor
5.55_to_6.15,0.8_to_1.75,-inf_to_3.25,2.45_to_4.75,Iris-versicolor
5.55_to_6.15,0.8_to_1.75,-inf_to_3.25,2.45_to_4.75,Iris-versicolor
6.15_to_inf,0.8_to_1.75,-inf_to_3.25,2.45_to_4.75,Iris-versicolor
5.55_to_6.15,0.8_to_1.75,-inf_to_3.25,2.45_to_4.75,Iris-versicolor
5.55_to_6.15,1.75_to_inf,-inf_to_3.25,4.75_to_inf,Iris-versicolor
5.55_to_6.15,0.8_to_1.75,-inf_to_3.25,2.45_to_4.75,Iris-versicolor
6.15_to_inf,0.8_to_1.75,-inf_to_3.25,4.75_to_inf,Iris-versicolor
5.55_to_6.15,0.8_to_1.75,-inf_to_3.25,2.45_to_4.75,Iris-versicolor
6.15_to_inf,0.8_to_1.75,-inf_to_3.25,2.45_to_4.75,Iris-versicolor
6.15_to_inf,0.8_to_1.75,-inf_to_3.25,4.75_to_inf,Iris-versicolor
5.55_to_6.15,0.8_to_1.75,-inf_to_3.25,2.45_to_4.75,Iris-versicolor
5.55_to_6.15,0.8_to_1.75,-inf_to_3.25,2.45_to_4.75,Iris-versicolor
-inf_to_5.55,0.8_to_1.75,-inf_to_3.25,2.45_to_4.75,Iris-versicolor
-inf_to_5.55,0.8_to_1.75,-inf_to_3.25,2.45_to_4.75,Iris-versicolor
5.55_to_6.15,0.8_to_1.75,-inf_to_3.25,2.45_to_4.75,Iris-versicolor
5.55_to_6.15,0.8_to_1.75,-inf_to_3.25,4.75_to_inf,Iris-versicolor
-inf_to_5.55,0.8_to_1.75,-inf_to_3.25,2.45_to_4.75,Iris-versicolor
5.55_to_6.15,0.8_to_1.75,3.25_to_inf,2.45_to_4.75,Iris-versicolor
6.15_to_inf,0.8_to_1.75,-inf_to_3.25,2.45_to_4.75,Iris-versicolor
6.15_to_inf,0.8_to_1.75,-inf_to_3.25,2.45_to_4.75,Iris-versicolor
5.55_to_6.15,0.8_to_1.75,-inf_to_3.25,2.45_to_4.75,Iris-versicolor
-inf_to_5.55,0.8_to_1.75,-inf_to_3.25,2.45_to_4.75,Iris-versicolor
-inf_to_5.55,0.8_to_1.75,-inf_to_3.25,2.45_to_4.75,Iris-versicolor
-inf_to_5.55,0.8_to_1.75,-inf_to_3.25,2.45_to_4.75,Iris-versicolor
5.55_to_6.15,0.8_to_1.75,-inf_to_3.25,2.45_to_4.75,Iris-versicolor
5.55_to_6.15,0.8_to_1.75,-inf_to_3.25,2.45_to_4.75,Iris-versicolor
5.55_to_6.15,0.8_to_1.75,-inf_to_3.25,2.45_to_4.75,Iris-versicolor
6.15_to_inf,0.8_to_1.75,-inf_to_3.25,2.45_to_4.75,Iris-versicolor
-inf_to_5.55,0.8_to_1.75,-inf_to_3.25,2.45_to_4.75,Iris-versicolor
5.55_to_6.15,0.8_to_1.75,-inf_to_3.25,2.45_to_4.75,Iris-versicolor
6.15_to_inf,1.75_to_inf,3.25_to_inf,4.75_to_inf,Iris-virginica
6.15_to_inf,1.75_to_inf,-inf_to_3.25,4.75_to_inf,Iris-virginica
6.15_to_inf,1.75_to_inf,-inf_to_3.25,4.75_to_inf,Iris-virginica
6.15_to_inf,1.75_to_inf,-inf_to_3.25,4.75_to_inf,Iris-virginica
-inf_to_5.55,0.8_to_1.75,-inf_to_3.25,2.45_to_4.75,Iris-virginica
6.15_to_inf,1.75_to_inf,-inf_to_3.25,4.75_to_inf,Iris-virginica
6.15_to_inf,1.75_to_inf,-inf_to_3.25,4.75_to_inf,Iris-virginica
6.15_to_inf,1.75_to_inf,3.25_to_inf,4.75_to_inf,Iris-virginica
6.15_to_inf,1.75_to_inf,-inf_to_3.25,4.75_to_inf,Iris-virginica
6.15_to_inf,1.75_to_inf,-inf_to_3.25,4.75_to_inf,Iris-virginica
5.55_to_6.15,1.75_to_inf,-inf_to_3.25,4.75_to_inf,Iris-virginica
5.55_to_6.15,1.75_to_inf,-inf_to_3.25,4.75_to_inf,Iris-virginica
6.15_to_inf,1.75_to_inf,-inf_to_3.25,4.75_to_inf,Iris-virginica
6.15_to_inf,1.75_to_inf,-inf_to_3.25,4.75_to_inf,Iris-virginica
6.15_to_inf,1.75_to_inf,3.25_to_inf,4.75_to_inf,Iris-virginica
6.15_to_inf,1.75_to_inf,-inf_to_3.25,4.75_to_inf,Iris-virginica
5.55_to_6.15,0.8_to_1.75,-inf_to_3.25,4.75_to_inf,Iris-virginica
6.15_to_inf,1.75_to_inf,-inf_to_3.25,4.75_to_inf,Iris-virginica
5.55_to_6.15,1.75_to_inf,-inf_to_3.25,4.75_to_inf,Iris-virginica
6.15_to_inf,1.75_to_inf,-inf_to_3.25,4.75_to_inf,Iris-virginica
6.15_to_inf,1.75_to_inf,-inf_to_3.25,4.75_to_inf,Iris-virginica
6.15_to_inf,1.75_to_inf,3.25_to_inf,4.75_to_inf,Iris-virginica
6.15_to_inf,1.75_to_inf,-inf_to_3.25,4.75_to_inf,Iris-virginica
6.15_to_inf,1.75_to_inf,-inf_to_3.25,4.75_to_inf,Iris-virginica
5.55_to_6.15,1.75_to_inf,-inf_to_3.25,4.75_to_inf,Iris-virginica
6.15_to_inf,1.75_to_inf,-inf_to_3.25,4.75_to_inf,Iris-virginica
6.15_to_inf,0.8_to_1.75,-inf_to_3.25,4.75_to_inf,Iris-virginica
6.15_to_inf,1.75_to_inf,-inf_to_3.25,4.75_to_inf,Iris-virginica
6.15_to_inf,1.75_to_inf,3.25_to_inf,4.75_to_inf,Iris-virginica
6.15_to_inf,1.75_to_inf,-inf_to_3.25,4.75_to_inf,Iris-virginica
6.15_to_inf,0.8_to_1.75,-inf_to_3.25,4.75_to_inf,Iris-virginica
5.55_to_6.15,0.8_to_1.75,-inf_to_3.25,4.75_to_inf,Iris-virginica
6.15_to_inf,1.75_to_inf,-inf_to_3.25,4.75_to_inf,Iris-virginica
6.15_to_inf,1.75_to_inf,3.25_to_inf,4.75_to_inf,Iris-virginica
5.55_to_6.15,1.75_to_inf,-inf_to_3.25,4.75_to_inf,Iris-virginica
6.15_to_inf,1.75_to_inf,-inf_to_3.25,4.75_to_inf,Iris-virginica
6.15_to_inf,1.75_to_inf,-inf_to_3.25,4.75_to_inf,Iris-virginica
5.55_to_6.15,1.75_to_inf,-inf_to_3.25,4.75_to_inf,Iris-virginica
6.15_to_inf,1.75_to_inf,-inf_to_3.25,4.75_to_inf,Iris-virginica
6.15_to_inf,1.75_to_inf,3.25_to_inf,4.75_to_inf,Iris-virginica
6.15_to_inf,1.75_to_inf,-inf_to_3.25,4.75_to_inf,Iris-virginica
6.15_to_inf,1.75_to_inf,-inf_to_3.25,4.75_to_inf,Iris-virginica
6.15_to_inf,1.75_to_inf,-inf_to_3.25,4.75_to_inf,Iris-virginica
6.15_to_inf,1.75_to_inf,3.25_to_inf,4.75_to_inf,Iris-virginica
5.55_to_6.15,1.75_to_inf,-inf_to_3.25,4.75_to_inf,Iris-virginica
