,algorithm,auc,average_rule_width,dataset_name,fraction_classes,fraction_overlap,fraction_uncovered,rule_cutoff,ruleset_length
1,DUSM,0.8610155802684958,2.0,anneal,0.25,0.03333333333333333,0.3666666666666667,20,3
2,DUSM,0.8251473601823427,2.0,anneal,0.2,0.06813186813186813,0.41758241758241754,20,5
3,DUSM,0.8006079367723545,2.0,anneal,0.2,0.06593406593406594,0.46153846153846145,20,5
4,DUSM,0.7919543046376626,2.0,anneal,0.2,0.037037037037037035,0.47777777777777775,20,4
5,DUSM,0.8043778920690524,2.0,anneal,0.2,0.037037037037037035,0.4555555555555555,20,3
6,DUSM,0.8591641706103585,1.8333333333333333,anneal,0.2,0.05037037037037037,0.29999999999999993,20,6
7,DUSM,0.8189572906123921,2.0,anneal,0.2,0.0449438202247191,0.4269662921348315,20,5
8,DUSM,0.8420240985700097,2.0,anneal,0.25,0.05,0.3977272727272727,20,5
9,DUSM,0.802199585266818,2.0,anneal,0.2,0.07840909090909091,0.4545454545454546,20,5
10,RUSM,0.8128776484773486,2.0,anneal,0.2,0.046153846153846156,0.43956043956043955,20,5
11,RUSM,0.8610155802684958,2.0,anneal,0.25,0.03333333333333333,0.3666666666666667,20,3
12,RUSM,0.8312822160348399,2.0,anneal,0.2,0.06483516483516483,0.4065934065934066,20,5
13,RUSM,0.8006079367723545,2.0,anneal,0.2,0.03736263736263736,0.46153846153846145,20,5
14,RUSM,0.7981660983533574,2.0,anneal,0.2,0.03333333333333333,0.4666666666666667,20,4
15,RUSM,0.8105896857847474,2.0,anneal,0.2,0.05185185185185185,0.4444444444444444,20,4
16,RUSM,0.8467405831789687,2.0,anneal,0.2,0.018518518518518517,0.3222222222222222,20,4
17,RUSM,0.8189572906123921,2.0,anneal,0.2,0.029962546816479398,0.4269662921348315,20,4
18,RUSM,0.7903978195405741,2.0,anneal,0.25,0.026515151515151512,0.48863636363636365,20,3
19,RUSM,0.7959037605737593,2.0,anneal,0.2,0.03409090909090909,0.46590909090909094,20,3
20,SLS,0.8190125043298456,1.9166666666666667,anneal,0.2,0.060606060606060594,0.4285714285714285,20,12
21,SLS,0.8736827936112498,2.0,anneal,0.25,0.05873015873015873,0.34444444444444444,20,7
22,SLS,0.8006079367723545,2.0,anneal,0.2,0.054421768707482984,0.46153846153846145,20,7
23,SLS,0.8006079367723545,2.0,anneal,0.2,0.05128205128205127,0.46153846153846145,20,6
24,SLS,0.7981660983533574,2.0,anneal,0.2,0.04666666666666666,0.4666666666666667,20,6
25,SLS,0.7981660983533574,2.0,anneal,0.2,0.04876543209876541,0.4666666666666667,20,9
26,SLS,0.8292250669318321,2.0,anneal,0.2,0.034444444444444444,0.4111111111111111,20,5
27,SLS,0.8189572906123921,2.0,anneal,0.2,0.06367041198501874,0.4269662921348315,20,9
28,SLS,0.7968511044192537,2.0,anneal,0.25,0.04924242424242423,0.4772727272727273,20,6
29,SLS,0.7644246371084658,2.0,anneal,0.2,0.06385281385281386,0.5227272727272727,20,7
30,DLS,0.8128776484773486,2.0,anneal,0.2,0.03736263736263736,0.43956043956043955,20,5
31,DLS,0.8230139402402329,2.0,anneal,0.25,0.03333333333333333,0.43333333333333335,20,3
32,DLS,0.8251473601823427,2.0,anneal,0.2,0.053113553113553105,0.41758241758241754,20,4
33,DLS,0.8006079367723545,2.0,anneal,0.2,0.04212454212454212,0.46153846153846145,20,4
34,DLS,0.8105896857847474,2.0,anneal,0.2,0.04444444444444445,0.4444444444444444,20,5
35,DLS,0.8043778920690524,2.0,anneal,0.2,0.037037037037037035,0.4555555555555555,20,3
36,DLS,0.8591641706103585,2.0,anneal,0.2,0.031111111111111114,0.29999999999999993,20,5
37,DLS,0.8189572906123921,2.0,anneal,0.2,0.04681647940074907,0.4269662921348315,20,4
38,DLS,0.8226642439339713,2.0,anneal,0.25,0.03977272727272727,0.43181818181818177,20,4
39,DLS,0.802199585266818,1.75,anneal,0.2,0.04545454545454545,0.4545454545454546,20,4
0,DUSM,0.7610300012260796,2.0,lymph,0.5,0.009259259259259259,0.6111111111111112,20,4
1,DUSM,0.8333333333333333,2.0,lymph,1.0,0.0,0.5714285714285714,20,6
2,DUSM,0.7395833333333334,2.0,lymph,1.0,0.0,0.7142857142857143,20,8
3,DUSM,0.8958333333333334,2.0,lymph,1.0,0.011904761904761904,0.5,20,4
4,DUSM,0.6466049382716049,2.0,lymph,0.6666666666666666,0.020000000000000004,0.19999999999999996,20,5
5,DUSM,0.8125,2.0,lymph,1.0,0.011904761904761904,0.6428571428571429,20,4
6,DUSM,0.8958333333333334,2.0,lymph,1.0,0.011904761904761904,0.5,20,4
7,DUSM,0.8220899470899471,1.8888888888888888,lymph,0.6666666666666666,0.029629629629629627,0.4,20,9
8,DUSM,0.7333333333333334,2.0,lymph,0.5,0.041666666666666664,0.5625,20,3
9,DUSM,0.7916666666666667,2.0,lymph,1.0,0.006802721088435373,0.4285714285714286,20,7
10,RUSM,0.7946552358317064,2.0,lymph,0.5,0.007407407407407407,0.5555555555555556,20,6
11,RUSM,0.8333333333333333,2.0,lymph,1.0,0.0,0.5714285714285714,20,6
12,RUSM,0.7916666666666667,2.0,lymph,1.0,0.0,0.6428571428571429,20,6
13,RUSM,0.8958333333333334,2.0,lymph,1.0,0.0047619047619047615,0.5,20,6
14,RUSM,0.8009259259259259,2.0,lymph,0.6666666666666666,0.012698412698412697,0.33333333333333337,20,7
15,RUSM,0.8125,2.0,lymph,1.0,0.0,0.6428571428571429,20,3
16,RUSM,0.8958333333333334,2.0,lymph,1.0,0.014285714285714285,0.5,20,5
17,RUSM,0.8558201058201057,2.0,lymph,0.6666666666666666,0.01111111111111111,0.4666666666666667,20,4
18,RUSM,0.7502604166666667,2.0,lymph,0.5,0.011904761904761904,0.4375,20,7
19,RUSM,0.7916666666666667,1.8571428571428572,lymph,1.0,0.01020408163265306,0.4285714285714286,20,7
20,SLS,0.8282804704373331,2.0,lymph,0.5,0.01111111111111111,0.5,20,6
21,SLS,0.84375,1.875,lymph,1.0,0.002551020408163265,0.5714285714285714,20,8
22,SLS,0.7395833333333334,1.8888888888888888,lymph,1.0,0.005952380952380952,0.7142857142857143,20,9
23,SLS,0.8958333333333334,2.0,lymph,1.0,0.007936507936507936,0.5,20,10
24,SLS,0.7739197530864198,2.0,lymph,0.6666666666666666,0.03111111111111111,0.4,20,6
25,SLS,0.875,2.0,lymph,1.0,0.007653061224489795,0.5714285714285714,20,8
26,SLS,0.8958333333333334,2.0,lymph,1.0,0.00510204081632653,0.5,20,8
27,SLS,0.888888888888889,2.0,lymph,0.6666666666666666,0.019047619047619046,0.4,20,7
28,SLS,0.73046875,2.0,lymph,0.5,0.014772727272727272,0.375,20,11
29,SLS,0.8333333333333333,1.8888888888888888,lymph,1.0,0.007936507936507936,0.5714285714285714,20,9
30,DLS,0.7610300012260796,2.0,lymph,0.5,0.0,0.6111111111111112,20,3
31,DLS,0.9375,1.9285714285714286,lymph,1.0,0.0023547880690737836,0.3571428571428572,20,14
32,DLS,0.7395833333333334,2.0,lymph,1.0,0.0,0.7142857142857143,20,4
33,DLS,0.8958333333333334,2.0,lymph,1.0,0.011904761904761904,0.5,20,4
34,DLS,0.6929012345679012,2.0,lymph,0.6666666666666666,0.0,0.6,20,2
35,DLS,0.7916666666666667,2.0,lymph,1.0,0.013605442176870746,0.6428571428571429,20,7
36,DLS,0.84375,2.0,lymph,1.0,0.0,0.5714285714285714,20,3
37,DLS,0.8220899470899471,2.0,lymph,0.6666666666666666,0.013333333333333334,0.4,20,6
38,DLS,0.7333333333333334,2.0,lymph,0.5,0.041666666666666664,0.5625,20,3
39,DLS,0.7916666666666667,2.0,lymph,1.0,0.023809523809523808,0.6428571428571429,20,3
40,DUSM,0.9733333333333333,2.3333333333333335,iris,1.0,0.0,0.2666666666666667,20,3
41,DUSM,0.96,3.0,iris,1.0,0.0,0.33333333333333337,20,3
42,DUSM,0.9666666666666668,2.0,iris,1.0,0.0,0.4,20,2
43,DUSM,0.9933333333333333,2.3333333333333335,iris,1.0,0.0,0.1333333333333333,20,3
44,DUSM,0.98,2.0,iris,1.0,0.0,0.2666666666666667,20,3
45,DUSM,0.9366666666666666,1.6666666666666667,iris,1.0,0.0,0.1333333333333333,20,3
46,DUSM,0.9666666666666667,2.0,iris,1.0,0.0,0.4,20,2
47,DUSM,0.9666666666666668,1.5,iris,1.0,0.0,0.4,20,2
48,DUSM,1.0,1.8,iris,1.0,0.03333333333333333,0.1333333333333333,20,5
49,DUSM,1.0,2.25,iris,1.0,0.03333333333333333,0.2666666666666667,20,4
50,RUSM,0.9733333333333333,2.6666666666666665,iris,1.0,0.0,0.2666666666666667,20,3
51,RUSM,0.98,2.75,iris,1.0,0.02222222222222222,0.2666666666666667,20,4
52,RUSM,0.98,1.6666666666666667,iris,1.0,0.0,0.2666666666666667,20,3
53,RUSM,0.9933333333333333,3.3333333333333335,iris,1.0,0.0,0.1333333333333333,20,3
54,RUSM,0.98,3.0,iris,1.0,0.0,0.2666666666666667,20,3
55,RUSM,0.9366666666666666,2.25,iris,1.0,0.02222222222222222,0.1333333333333333,20,4
56,RUSM,0.9666666666666667,2.5,iris,1.0,0.0,0.4,20,2
57,RUSM,0.9666666666666668,2.3333333333333335,iris,1.0,0.04444444444444444,0.4,20,3
58,RUSM,1.0,1.8,iris,1.0,0.03333333333333333,0.1333333333333333,20,5
59,RUSM,1.0,2.6666666666666665,iris,1.0,0.0,0.2666666666666667,20,3
60,SLS,0.9733333333333333,2.6,iris,1.0,0.020000000000000004,0.2666666666666667,20,5
61,SLS,0.9666666666666668,2.375,iris,1.0,0.1119047619047619,0.4,20,8
62,SLS,0.98,1.6666666666666667,iris,1.0,0.08,0.2666666666666667,20,6
63,SLS,0.9933333333333333,2.5555555555555554,iris,1.0,0.07592592592592591,0.1333333333333333,20,9
64,SLS,0.98,2.375,iris,1.0,0.09999999999999999,0.2666666666666667,20,8
65,SLS,0.9366666666666666,2.272727272727273,iris,1.0,0.08121212121212122,0.1333333333333333,20,11
66,SLS,0.9666666666666667,2.142857142857143,iris,1.0,0.14603174603174604,0.4,20,7
67,SLS,0.9666666666666668,2.3333333333333335,iris,1.0,0.06666666666666671,0.4,20,12
68,SLS,1.0,2.3333333333333335,iris,1.0,0.059259259259259255,0.1333333333333333,20,9
69,SLS,1.0,2.3333333333333335,iris,1.0,0.09814814814814816,0.2666666666666667,20,9
70,DLS,0.9733333333333333,2.5,iris,1.0,0.02222222222222222,0.2666666666666667,20,4
71,DLS,0.98,2.25,iris,1.0,0.02222222222222222,0.2666666666666667,20,4
72,DLS,0.9500000000000001,1.0,iris,1.0,0.0,0.2666666666666667,20,2
73,DLS,0.9933333333333333,2.5,iris,1.0,0.04444444444444444,0.1333333333333333,20,4
74,DLS,0.98,2.0,iris,1.0,0.0,0.2666666666666667,20,3
75,DLS,0.9466666666666667,1.6666666666666667,iris,1.0,0.0,0.4,20,3
76,DLS,0.9666666666666667,2.0,iris,1.0,0.0,0.4,20,2
77,DLS,0.9666666666666668,2.0,iris,1.0,0.02222222222222222,0.4,20,3
78,DLS,1.0,1.5,iris,1.0,0.01111111111111111,0.1333333333333333,20,4
79,DLS,1.0,1.6666666666666667,iris,1.0,0.0,0.2666666666666667,20,3
